repeticiones filas area tiempo iteraciones
1 7471 55815841 2.0413 13950225
2 7471 55815841 2.0832 13950225
3 7471 55815841 2.1536 13950225
4 7471 55815841 2.1783 13950225
5 7471 55815841 2.0731 13950225
1 7521 56565441 2.1689 14137600
2 7521 56565441 2.1366 14137600
3 7521 56565441 2.1617 14137600
4 7521 56565441 2.1687 14137600
5 7521 56565441 2.1751 14137600
1 7571 57320041 2.1471 14326225
2 7571 57320041 2.0993 14326225
3 7571 57320041 2.2469 14326225
4 7571 57320041 2.1378 14326225
5 7571 57320041 2.1350 14326225
1 7621 58079641 2.2892 14516100
2 7621 58079641 2.2190 14516100
3 7621 58079641 2.2456 14516100
4 7621 58079641 2.1857 14516100
5 7621 58079641 2.1667 14516100
1 7671 58844241 2.2322 14707225
2 7671 58844241 2.1915 14707225
3 7671 58844241 2.2286 14707225
4 7671 58844241 2.1898 14707225
5 7671 58844241 2.2566 14707225
1 7721 59613841 2.2475 14899600
2 7721 59613841 2.2383 14899600
3 7721 59613841 2.3251 14899600
4 7721 59613841 2.1965 14899600
5 7721 59613841 2.2899 14899600
1 7771 60388441 2.3509 15093225
2 7771 60388441 2.2754 15093225
3 7771 60388441 2.2555 15093225
4 7771 60388441 2.2643 15093225
5 7771 60388441 2.2321 15093225
1 7821 61168041 2.3346 15288100
2 7821 61168041 2.3135 15288100
3 7821 61168041 2.3428 15288100
4 7821 61168041 2.3780 15288100
5 7821 61168041 2.2700 15288100
1 7871 61952641 2.3662 15484225
2 7871 61952641 2.3674 15484225
3 7871 61952641 2.3473 15484225
4 7871 61952641 2.3352 15484225
5 7871 61952641 2.3272 15484225
1 7921 62742241 2.3974 15681600
2 7921 62742241 2.3442 15681600
3 7921 62742241 2.3677 15681600
4 7921 62742241 2.3485 15681600
