repeticiones filas area tiempo iteraciones
1 6521 42523441 3.0850 21254989
2 6521 42523441 3.1660 21254955
3 6521 42523441 3.2070 21255007
4 6521 42523441 3.1110 21254997
5 6521 42523441 3.1880 21254967
1 6571 43178041 3.3150 21582223
2 6571 43178041 3.1200 21582229
3 6571 43178041 3.1930 21582179
4 6571 43178041 3.1430 21582249
5 6571 43178041 3.1440 21582223
1 6621 43837641 3.3440 21911985
2 6621 43837641 3.1940 21911941
3 6621 43837641 3.2120 21911997
4 6621 43837641 3.2440 21911923
5 6621 43837641 3.1850 21911943
1 6671 44502241 3.3320 22244219
2 6671 44502241 3.2540 22244209
3 6671 44502241 3.2480 22244195
4 6671 44502241 3.2340 22244233
5 6671 44502241 3.2670 22244267
1 6721 45171841 3.3030 22578925
2 6721 45171841 3.3750 22578875
3 6721 45171841 3.3720 22578977
4 6721 45171841 3.3610 22578971
5 6721 45171841 3.3770 22578959
1 6771 45846441 3.3410 22916179
2 6771 45846441 3.3860 22916181
3 6771 45846441 3.3910 22916229
4 6771 45846441 3.3350 22916209
5 6771 45846441 3.4310 22916179
1 6821 46526041 3.4850 23255975
2 6821 46526041 3.3790 23255927
3 6821 46526041 3.4990 23255959
4 6821 46526041 3.5050 23255979
5 6821 46526041 3.3970 23255925
1 6871 47210641 3.4440 23598169
2 6871 47210641 3.5530 23598211
3 6871 47210641 3.5290 23598227
4 6871 47210641 3.4100 23598235
5 6871 47210641 3.5180 23598257
1 6921 47900241 3.6240 23942919
2 6921 47900241 3.5190 23942905
3 6921 47900241 3.5950 23942929
4 6921 47900241 3.6030 23942923
5 6921 47900241 3.4860 23942873
1 6971 48594841 3.6090 24290227
2 6971 48594841 3.6500 24290189
3 6971 48594841 3.6190 24290243
4 6971 48594841 3.5600 24290225
5 6971 48594841 3.6370 24290211
1 7021 49294441 3.6840 24639923
2 7021 49294441 3.6240 24639941
3 7021 49294441 3.6730 24639933
4 7021 49294441 3.6820 24639899
5 7021 49294441 3.7000 24639883
1 7071 49999041 3.6920 24992155
2 7071 49999041 3.7630 24992169
3 7071 49999041 3.6520 24992251
4 7071 49999041 3.6400 24992233
5 7071 49999041 3.6560 24992197
1 7121 50708641 3.7270 25346951
2 7121 50708641 3.6850 25346987
3 7121 50708641 3.7080 25346967
4 7121 50708641 3.7370 25346961
5 7121 50708641 3.7850 25346971
1 7171 51423241 3.8240 25704211
2 7171 51423241 3.7490 25704213
3 7171 51423241 3.8360 25704205
4 7171 51423241 3.7870 25704199
5 7171 51423241 3.7990 25704217
1 7221 52142841 3.7620 26063945
2 7221 52142841 3.9400 26063909
3 7221 52142841 3.8670 26063959
4 7221 52142841 3.8670 26063951
5 7221 52142841 3.8070 26063963
1 7271 52867441 3.8790 26426177
2 7271 52867441 3.8810 26426187
3 7271 52867441 4.0020 26426199
4 7271 52867441 3.8410 26426179
5 7271 52867441 3.9240 26426185
1 7321 53597041 3.9930 26790883
2 7321 53597041 3.9150 26790917
3 7321 53597041 3.9500 26790847
4 7321 53597041 3.8960 26790909
5 7321 53597041 4.0020 26790897
1 7371 54331641 4.0920 27158147
2 7371 54331641 4.0130 27158169
3 7371 54331641 4.0000 27158137
4 7371 54331641 4.0870 27158121
5 7371 54331641 3.9710 27158143
1 7421 55071241 4.0850 27527927
